Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Lowry\lowryky01,42:21,7,17,.412,2,6,.333,4,4,1.000,1,4,5,5,1,0,2,3,20,+1
Kawhi Leonard\leonaka01,41:51,13,24,.542,3,10,.300,6,7,.857,3,4,7,6,1,0,1,2,35,+4
Pascal Siakam\siakapa01,40:07,9,25,.360,2,7,.286,1,2,.500,2,5,7,3,4,1,2,5,21,0
Marc Gasol\gasolma01,34:44,1,6,.167,1,4,.250,2,2,1.000,1,6,7,5,0,1,0,3,5,+7
Danny Green\greenda02,32:15,1,8,.125,1,6,.167,0,0,,1,3,4,0,2,1,2,3,3,+14
Fred VanVleet\vanvlfr01,18:22,0,2,.000,0,1,.000,0,0,,0,4,4,0,2,1,0,2,0,-18
Norman Powell\powelno01,15:34,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,-17
Serge Ibaka\ibakase01,13:16,1,5,.200,0,1,.000,0,0,,1,0,1,0,0,0,1,4,2,-12
Jodie Meeks\meeksjo01,1:30,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-4
Patrick McCaw\mccawpa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,91,.363,10,37,.270,13,15,.867,9,27,36,20,10,4,9,22,89,
