Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam\siakapa01,41:30,7,17,.412,1,3,.333,3,4,.750,2,2,4,0,1,1,2,2,18,+8
Kawhi Leonard\leonaka01,41:26,9,22,.409,1,8,.125,8,11,.727,4,13,17,7,2,2,6,3,27,+7
Kyle Lowry\lowryky01,41:06,6,10,.600,3,4,.750,2,2,1.000,0,5,5,8,1,0,1,5,17,0
Marc Gasol\gasolma01,26:18,2,3,.667,2,2,1.000,0,0,,0,3,3,2,1,1,0,5,6,+1
Danny Green\greenda02,14:25,0,4,.000,0,4,.000,0,0,,0,2,2,1,2,0,0,2,0,-7
Fred VanVleet\vanvlfr01,33:51,5,6,.833,4,5,.800,0,0,,0,0,0,2,0,0,0,2,14,+12
Serge Ibaka\ibakase01,24:53,4,7,.571,0,0,,1,2,.500,0,3,3,0,0,0,0,4,9,+3
Norman Powell\powelno01,16:31,3,5,.600,1,1,1.000,2,3,.667,0,4,4,0,0,0,1,1,9,+6
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patrick McCaw\mccawpa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,74,.486,12,27,.444,16,22,.727,6,32,38,20,7,4,10,24,100,
