Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam\siakapa01,41:33,13,20,.650,3,4,.750,1,1,1.000,3,8,11,4,0,0,0,3,30,+13
Kyle Lowry\lowryky01,39:50,4,10,.400,2,6,.333,2,2,1.000,1,4,5,10,1,1,3,4,12,+8
Kawhi Leonard\leonaka01,37:24,5,19,.263,0,3,.000,6,7,.857,2,8,10,4,1,0,6,3,16,+1
Danny Green\greenda02,33:07,5,11,.455,3,7,.429,0,0,,1,0,1,2,1,1,1,2,13,+10
Marc Gasol\gasolma01,26:22,4,6,.667,1,1,1.000,0,0,,0,3,3,1,4,0,0,4,9,+5
Fred VanVleet\vanvlfr01,23:39,2,7,.286,0,2,.000,0,0,,0,3,3,3,0,0,2,1,4,-11
Serge Ibaka\ibakase01,21:26,3,9,.333,0,2,.000,0,0,,0,8,8,2,0,1,0,4,6,0
Norman Powell\powelno01,14:14,3,5,.600,2,3,.667,0,0,,1,1,2,0,1,0,1,1,8,+2
Jodie Meeks\meeksjo01,2:25,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-3
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patrick McCaw\mccawpa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,87,.448,11,28,.393,9,10,.900,8,35,43,26,9,3,13,23,98,
