Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,43:03,5,14,.357,3,6,.500,10,12,.833,1,7,8,5,1,0,2,3,23,+11
Pascal Siakam\siakapa01,39:45,14,17,.824,2,3,.667,2,2,1.000,3,5,8,5,1,2,2,3,32,+4
Kyle Lowry\lowryky01,36:14,2,9,.222,1,5,.200,2,2,1.000,0,6,6,9,1,0,3,5,7,+11
Marc Gasol\gasolma01,29:43,6,10,.600,2,4,.500,6,6,1.000,0,7,7,1,2,1,0,6,20,+8
Danny Green\greenda02,29:41,4,9,.444,3,7,.429,0,0,,1,1,2,1,1,2,0,1,11,+2
Fred VanVleet\vanvlfr01,33:06,5,8,.625,1,4,.250,4,6,.667,0,1,1,2,0,0,1,3,15,+11
Serge Ibaka\ibakase01,17:03,2,7,.286,0,2,.000,1,2,.500,2,1,3,1,0,1,2,3,5,-1
Patrick McCaw\mccawpa01,6:50,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-3
Norman Powell\powelno01,4:35,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,2,2,+2
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,77,.506,13,33,.394,27,32,.844,7,29,36,25,6,6,10,26,118,
