Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marc Gasol\gasolma01,45:12,3,8,.375,1,4,.250,0,0,,2,9,11,0,0,3,0,4,7,-10
Kawhi Leonard\leonaka01,43:17,16,39,.410,2,9,.222,7,8,.875,4,4,8,3,3,0,4,1,41,-2
Kyle Lowry\lowryky01,39:03,4,13,.308,1,7,.143,1,1,1.000,2,4,6,6,2,0,2,4,10,+2
Pascal Siakam\siakapa01,37:38,4,11,.364,0,2,.000,3,4,.750,2,9,11,2,2,0,1,3,11,-6
Danny Green\greenda02,30:22,1,3,.333,0,1,.000,0,0,,1,3,4,1,1,1,0,2,2,-6
Serge Ibaka\ibakase01,29:07,6,10,.600,3,5,.600,2,2,1.000,4,4,8,3,0,0,2,4,17,+22
Fred VanVleet\vanvlfr01,15:21,0,5,.000,0,2,.000,4,4,1.000,1,0,1,0,2,0,1,4,4,+10
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Norman Powell\powelno01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patrick McCaw\mccawpa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jodie Meeks\meeksjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,34,89,.382,7,30,.233,17,19,.895,16,33,49,15,10,4,10,22,92,
