Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,52:08,11,25,.440,2,4,.500,12,13,.923,2,7,9,5,2,1,5,2,36,+10
Pascal Siakam\siakapa01,51:23,9,18,.500,2,5,.400,5,9,.556,1,10,11,1,3,1,3,4,25,+12
Marc Gasol\gasolma01,44:47,5,10,.500,4,8,.500,2,2,1.000,1,11,12,7,1,5,3,5,16,+5
Danny Green\greenda02,34:23,1,9,.111,1,6,.167,0,0,,0,6,6,1,2,1,0,0,3,-3
Kyle Lowry\lowryky01,31:33,4,7,.571,3,6,.500,0,0,,1,3,4,5,1,0,1,6,11,+15
Fred VanVleet\vanvlfr01,30:58,1,11,.091,1,8,.125,0,0,,0,3,3,6,0,1,3,5,3,-4
Norman Powell\powelno01,29:37,7,13,.538,3,5,.600,2,2,1.000,1,3,4,3,1,0,2,6,19,0
Serge Ibaka\ibakase01,14:29,2,9,.222,1,3,.333,0,0,,2,4,6,0,1,1,0,2,5,-3
Jodie Meeks\meeksjo01,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Malcolm Miller\millema01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eric Moreland\moreler01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris Boucher\bouchch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeremy Lin\linje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,290,40,102,.392,17,45,.378,21,26,.808,8,47,55,28,11,10,17,30,118,
