Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,31:58,8,11,.727,5,5,1.000,6,6,1.000,3,4,7,2,1,0,2,1,27,+38
Pascal Siakam\siakapa01,31:41,8,16,.500,3,5,.600,5,6,.833,0,6,6,4,0,1,2,2,24,+22
Danny Green\greenda02,28:22,2,5,.400,2,5,.400,0,0,,0,5,5,3,2,0,1,2,6,+28
Kyle Lowry\lowryky01,26:41,6,10,.600,2,4,.500,0,0,,0,4,4,9,1,0,2,4,14,+31
Marc Gasol\gasolma01,24:01,2,5,.400,1,3,.333,4,4,1.000,1,8,9,2,0,1,2,3,9,+24
Fred VanVleet\vanvlfr01,21:17,3,8,.375,1,4,.250,0,0,,0,1,1,10,0,0,2,2,7,+10
Serge Ibaka\ibakase01,18:42,5,8,.625,0,1,.000,0,1,.000,1,3,4,2,2,0,1,5,10,+11
Norman Powell\powelno01,18:26,5,9,.556,1,2,.500,0,0,,2,2,4,2,1,0,0,2,11,+5
Jodie Meeks\meeksjo01,13:50,2,8,.250,0,3,.000,1,2,.500,0,3,3,0,0,1,0,3,5,-15
Patrick McCaw\mccawpa01,8:05,0,1,.000,0,1,.000,0,0,,1,1,2,0,1,0,0,1,0,-11
Jeremy Lin\linje01,5:50,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,1,1,2,-16
Malcolm Miller\millema01,5:50,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,1,2,0,-16
Eric Moreland\moreler01,5:17,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-16
Team Totals,240,41,85,.482,15,36,.417,18,21,.857,8,40,48,34,8,3,14,30,115,
