Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Lowry\lowryky01,43:22,8,16,.500,5,9,.556,2,2,1.000,0,4,4,9,1,1,3,3,23,+14
Pascal Siakam\siakapa01,38:40,8,16,.500,0,3,.000,2,2,1.000,1,8,9,6,0,0,2,0,18,+22
Kawhi Leonard\leonaka01,38:25,9,17,.529,2,6,.333,10,11,.909,2,5,7,6,2,2,4,3,30,+6
Danny Green\greenda02,27:12,6,10,.600,6,10,.600,0,0,,0,5,5,1,1,1,1,5,18,+11
Marc Gasol\gasolma01,26:10,6,11,.545,1,4,.250,4,4,1.000,0,7,7,4,0,0,2,4,17,+14
Fred VanVleet\vanvlfr01,33:19,4,8,.500,3,6,.500,0,0,,1,2,3,2,3,0,0,3,11,+4
Serge Ibaka\ibakase01,21:50,2,4,.500,0,0,,2,2,1.000,1,4,5,1,2,6,2,4,6,0
Norman Powell\powelno01,6:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Patrick McCaw\mccawpa01,2:13,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-5
Jodie Meeks\meeksjo01,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Jeremy Lin\linje01,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Malcolm Miller\millema01,0:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
OG Anunoby\anunoog01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,82,.524,17,38,.447,20,21,.952,5,35,40,30,9,10,14,22,123,
